# time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 1.249999999922540720e-03 1.260269508229000801e-01
2.004233255866967323e-01 9.999999999964721553e-01 7.571295202636636745e-02 1.000049998705404342e+00 1.246671615674592231e-03 1.260179626602877523e-01
4.006911363441424956e-01 1.000000000003357314e+00 1.454035122298895089e-01 1.000049997572570737e+00 1.311417836724603284e-03 1.285103643025434506e-01
6.002863289579131179e-01 1.000000000004856560e+00 2.108714320231918904e-01 1.000049993281887373e+00 1.598185345836153565e-03 1.391870251869911645e-01
8.005484809351290920e-01 9.999999999946460605e-01 2.665128808642120428e-01 1.000049979744515261e+00 2.351935020114737009e-03 1.635351213781384982e-01
1.000280024820718427e+00 1.000000000008011369e+00 3.163252056787732025e-01 1.000049949764841406e+00 3.847258993359991153e-03 2.028503091488460253e-01
1.200106361378789899e+00 9.999999999901874048e-01 3.653882278440273579e-01 1.000049921351497062e+00 6.435332411436000058e-03 2.573843713976602943e-01
1.400149658312405121e+00 9.999999999828759201e-01 4.047628730294788868e-01 1.000049924483669583e+00 1.042431820794420365e-02 3.255153953382581289e-01
1.600193952945377474e+00 1.000000000012160939e+00 4.303225465030512953e-01 1.000049997244973454e+00 1.569013217435001953e-02 4.051589853132540608e-01
1.800419268119018090e+00 1.000000000000328626e+00 4.429017727997758280e-01 1.000050210552973828e+00 2.152951257489387968e-02 4.938549844936029332e-01
2.000244483696780762e+00 9.999999999979216625e-01 4.433882409382198797e-01 1.000050787661717289e+00 2.664124365377644466e-02 5.787273615384843639e-01
2.200439326380906113e+00 9.999999999935518247e-01 4.339564636254241159e-01 1.000051758526798507e+00 2.972248089161645332e-02 6.503471501676468813e-01
2.400046327146754699e+00 1.000000000002296829e+00 4.179172237281333357e-01 1.000053067369701898e+00 3.080612171599370064e-02 6.981091307541470448e-01
2.600380765035394059e+00 1.000000000006913581e+00 4.048014547688343345e-01 1.000054425109768053e+00 3.097669283585211333e-02 7.225363806747162609e-01
2.800511722631087164e+00 1.000000000004028777e+00 3.999368457501202290e-01 1.000055654375286762e+00 3.047047425672976678e-02 7.299654556199440814e-01
3.000134257391529502e+00 9.999999999912922988e-01 3.983975031818677848e-01 1.000056730602003174e+00 3.013648322371951377e-02 7.317838524225741548e-01
3.200385254792612155e+00 1.000000000008135714e+00 3.942069771123722921e-01 1.000057698440158349e+00 2.994066331622373400e-02 7.340188355989367697e-01
3.400437397344716839e+00 1.000000000014971135e+00 3.917161331602359575e-01 1.000058601658821322e+00 3.025010462717880183e-02 7.394377545074711788e-01
3.600392128808330483e+00 1.000000000004497736e+00 3.946701223568831463e-01 1.000059479276740326e+00 3.070501794029028772e-02 7.464479380244206652e-01
3.800304194287482229e+00 9.999999999982520649e-01 3.985062538497244899e-01 1.000060333806979784e+00 3.113204935561338788e-02 7.518505910813292337e-01
4.000389848304366502e+00 1.000000000011226575e+00 4.032866296010959584e-01 1.000061205110566620e+00 3.197851495002063116e-02 7.613019893720669451e-01
4.200452941919349037e+00 9.999999999984687804e-01 4.063352271953714623e-01 1.000062058776227225e+00 3.303616576105452424e-02 7.745160882849463357e-01
4.400371712078139375e+00 9.999999999965751840e-01 4.085653351008833867e-01 1.000062959070451507e+00 3.435139288863491014e-02 7.896320895319034472e-01
4.600102021955327913e+00 1.000000000005215384e+00 4.069191845827200282e-01 1.000063883452115832e+00 3.556510360371691049e-02 8.028647238264234876e-01
4.800049609173717258e+00 1.000000000007531753e+00 4.040709251871665297e-01 1.000064885265952608e+00 3.649900715398989026e-02 8.129318314174062143e-01
5.000430184149952773e+00 9.999999999950119900e-01 4.021961011844348288e-01 1.000065917623953915e+00 3.706238300817052411e-02 8.192730653027042731e-01
5.200439504921762435e+00 1.000000000018772539e+00 3.993094997858533945e-01 1.000066973744288434e+00 3.732200595573948593e-02 8.249873851901351474e-01
5.400138991087136020e+00 9.999999999978506082e-01 3.993988915486888502e-01 1.000067993548257483e+00 3.672973239108266730e-02 8.217490605239207158e-01
5.600347884891672123e+00 1.000000000001591616e+00 3.998316704053543891e-01 1.000068980959888387e+00 3.670943478485561018e-02 8.261783376326591322e-01
5.800105631137631335e+00 1.000000000002764011e+00 4.015083274718542761e-01 1.000069963445697763e+00 3.762011531504746986e-02 8.376961111129086479e-01
6.000051565494331385e+00 1.000000000005734080e+00 3.994206845617095936e-01 1.000070934733936268e+00 3.902088161132409583e-02 8.524225950621682202e-01
6.200282370468948479e+00 1.000000000005421441e+00 3.967218835498441121e-01 1.000071902736878293e+00 4.063614135009319117e-02 8.681046108452140642e-01
6.400044836366554968e+00 9.999999999937365658e-01 3.960422262699747065e-01 1.000072888060828502e+00 4.155593135488913625e-02 8.779428640292488151e-01
6.600442589901270196e+00 9.999999999973816500e-01 3.969430539796434121e-01 1.000073893122218616e+00 4.148280389815189872e-02 8.802687994482116807e-01
6.800073771147754798e+00 9.999999999899316094e-01 4.010146162302037909e-01 1.000074853832093824e+00 4.156039555976634436e-02 8.803097815297404871e-01
7.000340693727490127e+00 9.999999999964614972e-01 4.025257300139414851e-01 1.000075841388121889e+00 4.156139312227043192e-02 8.784124299687023907e-01
7.200054540081620935e+00 1.000000000000660805e+00 4.012168093421081272e-01 1.000076891100724064e+00 4.089460400670921064e-02 8.719900280390537883e-01
