time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 1.249999999922540720e-03 1.260269508229000801e-01
2.005897484285769916e-01 9.999999999944222395e-01 1.514629270797852312e-01 1.000049998089671321e+00 1.258892721244914224e-03 1.265171380910132259e-01
4.000052203774413506e-01 1.000000000010821566e+00 2.891282566671415921e-01 1.000049979587165794e+00 1.525786941679850963e-03 1.364435393308268962e-01
6.003011592985317835e-01 1.000000000001467271e+00 4.129769443950268015e-01 1.000049916247761850e+00 2.739260050580759071e-03 1.736885079643468999e-01
8.004233379366030299e-01 1.000000000000127898e+00 5.105963946727489766e-01 1.000049718797582310e+00 6.082727197162686797e-03 2.459663547133624228e-01
1.000190567383947959e+00 1.000000000003012701e+00 5.979605890860908435e-01 1.000049516478475509e+00 1.294076765263883419e-02 3.511070140469079170e-01
1.200066246302825101e+00 9.999999999971080911e-01 6.593094008147841745e-01 1.000049668060271291e+00 2.321632940602308404e-02 4.865823185184127708e-01
1.400038371723433039e+00 1.000000000005448086e+00 6.806892311850997190e-01 1.000050578541497925e+00 3.541537717875884589e-02 6.548568916526393835e-01
1.600221183190740248e+00 9.999999999921627136e-01 6.738607435534306189e-01 1.000053184344739332e+00 4.470779930119011397e-02 8.098671160037647088e-01
1.800244632431839520e+00 9.999999999931556971e-01 6.434527585613334377e-01 1.000057068797776338e+00 4.749930927258964181e-02 8.887273942138828042e-01
2.000299045484500216e+00 9.999999999976392218e-01 6.165450677553903081e-01 1.000060851130160522e+00 4.788775176905828851e-02 9.210517575337360263e-01
2.200344704862582379e+00 1.000000000003588241e+00 6.139586840345832019e-01 1.000064156311185171e+00 4.720234077863323663e-02 9.282925852616785711e-01
2.400220898009572945e+00 9.999999999763424796e-01 6.139226872386356337e-01 1.000067021084971364e+00 4.752006057679369205e-02 9.332789303489086308e-01
2.600395877366104891e+00 1.000000000006583178e+00 6.076272096979269399e-01 1.000069732449264892e+00 4.816802082589900780e-02 9.393160487901487388e-01
2.800141569797524710e+00 9.999999999942588147e-01 6.055275882052536529e-01 1.000072295136296363e+00 4.810721931393630718e-02 9.407542481215391827e-01
3.000331717741709259e+00 1.000000000006412648e+00 6.135207530856287006e-01 1.000074940058514272e+00 4.899863750334978313e-02 9.497644074216440302e-01
3.200165368716567649e+00 9.999999999962589925e-01 6.158184801671804376e-01 1.000077420449765553e+00 5.008414940767347279e-02 9.603822228688474461e-01
3.400373697490072011e+00 9.999999999925872629e-01 6.235836349483453445e-01 1.000080113713166297e+00 5.164847406332701701e-02 9.751507039906628371e-01
3.600281540724973528e+00 9.999999999925961447e-01 6.209748501253969932e-01 1.000082678765896516e+00 5.336802978961129040e-02 9.907125699000481900e-01
3.800374582694603376e+00 1.000000000005135448e+00 6.172565940345016156e-01 1.000085285783305578e+00 5.573828606864259655e-02 1.010646676155147805e+00
4.000160537687943219e+00 9.999999999997566391e-01 6.186807997513975588e-01 1.000088002694781375e+00 5.840052800476543821e-02 1.036317183219590099e+00
4.200355970159118435e+00 1.000000000001319833e+00 6.137879926899335592e-01 1.000090840979378948e+00 5.973420021045790923e-02 1.051704611951342017e+00
4.400070627221237096e+00 1.000000000009711343e+00 6.012548207254068133e-01 1.000093895572507829e+00 5.941311676267589659e-02 1.051760207910955369e+00
4.600167065212974471e+00 1.000000000004257927e+00 5.962229115823109993e-01 1.000096872269984782e+00 5.928454991366741839e-02 1.055120718450896833e+00
4.800165502540644447e+00 1.000000000004900969e+00 5.948898060898906159e-01 1.000099534944313362e+00 6.118573138501189751e-02 1.070632772267558153e+00
5.000334980609562052e+00 1.000000000005739409e+00 5.988394379087095265e-01 1.000102201681034142e+00 6.409845526115136305e-02 1.095151875269883668e+00
5.200001578786012324e+00 9.999999999894484404e-01 5.983139029385737828e-01 1.000105031048892146e+00 6.592181302083445493e-02 1.109599231919071283e+00
5.400002488784314103e+00 1.000000000007673862e+00 5.967853592340601754e-01 1.000107867235422887e+00 6.644660053769413377e-02 1.114516927776817656e+00
5.600228950720869570e+00 1.000000000000712319e+00 5.997123906733359266e-01 1.000110717082924650e+00 6.547289583773226174e-02 1.106672983427206214e+00
5.800291825863499007e+00 1.000000000010537349e+00 5.955491450423368027e-01 1.000113418902278228e+00 6.393161438959843457e-02 1.093067357044771759e+00
