Applying norm factor of 0.706905 to B field. Orig mean E_mag = 0.249857
Starting up hydro driver
# Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy,Hydro,parthenon::resolved_state
turbulence_phases_j       None,Provides,Real,Derived,OneCopy,Hydro,parthenon::resolved_state
turbulence_phases_i       None,Provides,Real,Derived,OneCopy,Hydro,parthenon::resolved_state
acc                       Cell,Provides,Real,Derived,OneCopy,Hydro,parthenon::resolved_state
prim                      Cell,Provides,Real,Derived,Hydro,parthenon::resolved_state
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes,Hydro,parthenon::resolved_state
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------


Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=6.7644211479579123e-04 zone-cycles/wsec_step=0.00e+00 wsec_total=3.62e+00 wsec_step=6.43e+00
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=6.7644211479579123e-04 dt=6.2504888680541264e-04 zone-cycles/wsec_step=2.10e+07 wsec_total=4.42e+00 wsec_step=8.01e-01
cycle=2 time=1.3014910016012039e-03 dt=5.7350228917423646e-04 zone-cycles/wsec_step=6.11e+07 wsec_total=4.69e+00 wsec_step=2.75e-01
cycle=3 time=1.8749932907754403e-03 dt=5.4793122309792542e-04 zone-cycles/wsec_step=6.09e+07 wsec_total=4.97e+00 wsec_step=2.76e-01
cycle=4 time=2.4229245138733656e-03 dt=5.3051171669295238e-04 zone-cycles/wsec_step=6.07e+07 wsec_total=5.24e+00 wsec_step=2.77e-01
cycle=5 time=2.9534362305663180e-03 dt=5.1920064056336531e-04 zone-cycles/wsec_step=6.03e+07 wsec_total=5.52e+00 wsec_step=2.78e-01
cycle=6 time=3.4726368711296834e-03 dt=5.1022204634811475e-04 zone-cycles/wsec_step=6.06e+07 wsec_total=5.80e+00 wsec_step=2.77e-01
cycle=7 time=3.9828589174777983e-03 dt=5.0407585785839401e-04 zone-cycles/wsec_step=6.06e+07 wsec_total=6.07e+00 wsec_step=2.77e-01
cycle=8 time=4.4869347753361925e-03 dt=4.9940550474212545e-04 zone-cycles/wsec_step=6.06e+07 wsec_total=6.35e+00 wsec_step=2.77e-01
cycle=9 time=4.9863402800783179e-03 dt=4.9011037309336142e-04 zone-cycles/wsec_step=6.02e+07 wsec_total=6.63e+00 wsec_step=2.79e-01
cycle=10 time=5.4764506531716790e-03 dt=4.8277255651687427e-04 zone-cycles/wsec_step=6.06e+07 wsec_total=6.91e+00 wsec_step=2.77e-01
cycle=11 time=5.9592232096885535e-03 dt=4.7683933803230701e-04 zone-cycles/wsec_step=6.05e+07 wsec_total=7.18e+00 wsec_step=2.77e-01
cycle=12 time=6.4360625477208602e-03 dt=4.7258435885094566e-04 zone-cycles/wsec_step=6.07e+07 wsec_total=7.46e+00 wsec_step=2.76e-01
cycle=13 time=6.9086469065718055e-03 dt=4.6917591201522339e-04 zone-cycles/wsec_step=6.02e+07 wsec_total=7.74e+00 wsec_step=2.78e-01
cycle=14 time=7.3778228185870289e-03 dt=4.6602764203045353e-04 zone-cycles/wsec_step=6.05e+07 wsec_total=8.02e+00 wsec_step=2.77e-01
cycle=15 time=7.8438504606174828e-03 dt=4.6330805923365639e-04 zone-cycles/wsec_step=6.07e+07 wsec_total=8.29e+00 wsec_step=2.76e-01
cycle=16 time=8.3071585198511398e-03 dt=4.6112358404673765e-04 zone-cycles/wsec_step=6.09e+07 wsec_total=8.57e+00 wsec_step=2.76e-01
cycle=17 time=8.7682821038978769e-03 dt=4.6140114474961405e-04 zone-cycles/wsec_step=6.08e+07 wsec_total=8.84e+00 wsec_step=2.76e-01
cycle=18 time=9.2296832486474904e-03 dt=4.6031413756256065e-04 zone-cycles/wsec_step=6.09e+07 wsec_total=9.12e+00 wsec_step=2.75e-01
cycle=19 time=9.6899973862100506e-03 dt=4.6059489938990629e-04 zone-cycles/wsec_step=6.12e+07 wsec_total=9.39e+00 wsec_step=2.74e-01
cycle=20 time=1.0150592285599957e-02 dt=4.6159494106033639e-04 zone-cycles/wsec_step=6.11e+07 wsec_total=9.67e+00 wsec_step=2.75e-01
