#Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy
turbulence_phases_j       None,Provides,Real,Derived,OneCopy
turbulence_phases_i       None,Provides,Real,Derived,OneCopy
acc                       Cell,Provides,Real,Derived,OneCopy
prim                      Cell,Provides,Real,Derived
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------

Applying norm factor of 14.1381 to B field. Orig mean E_mag = 0.249857
Starting up hydro driver

Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=1.1688964375570145e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=1.45e+01 wsec_step=1.52e+01
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=1.1688964375570145e-03 dt=1.1622636647123711e-03 zone-cycles/wsec_step=1.20e+07 wsec_total=1.59e+01 wsec_step=1.40e+00
cycle=2 time=2.3311601022693853e-03 dt=1.1541710906984143e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.60e+01 wsec_step=1.66e-01
cycle=3 time=3.4853311929677997e-03 dt=1.1469729638554551e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.62e+01 wsec_step=1.67e-01
cycle=4 time=4.6323041568232543e-03 dt=1.1408075210989936e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.64e+01 wsec_step=1.67e-01
cycle=5 time=5.7731116779222479e-03 dt=1.1347659752335838e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.65e+01 wsec_step=1.67e-01
cycle=6 time=6.9078776531558313e-03 dt=1.1295313099764087e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.67e+01 wsec_step=1.67e-01
cycle=7 time=8.0374089631322400e-03 dt=1.1228301235723277e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.69e+01 wsec_step=1.68e-01
cycle=8 time=9.1602390867045677e-03 dt=1.1171279566244974e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.70e+01 wsec_step=1.68e-01
cycle=9 time=1.0277367043329065e-02 dt=1.1103735461000413e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.72e+01 wsec_step=1.67e-01
cycle=10 time=1.1387740589429107e-02 dt=1.1031956400374592e-03 zone-cycles/wsec_step=9.99e+07 wsec_total=1.74e+01 wsec_step=1.68e-01
cycle=11 time=1.2490936229466565e-02 dt=1.0954515816713856e-03 zone-cycles/wsec_step=1.00e+08 wsec_total=1.75e+01 wsec_step=1.68e-01
cycle=12 time=1.3586387811137950e-02 dt=1.0876581652848765e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.77e+01 wsec_step=1.67e-01
cycle=13 time=1.4674045976422826e-02 dt=1.0806085800220879e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.79e+01 wsec_step=1.67e-01
cycle=14 time=1.5754654556444914e-02 dt=1.0741040481888283e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.80e+01 wsec_step=1.67e-01
cycle=15 time=1.6828758604633742e-02 dt=1.0678753165196831e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.82e+01 wsec_step=1.66e-01
cycle=16 time=1.7896633921153426e-02 dt=1.0619081360082700e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.84e+01 wsec_step=1.66e-01
cycle=17 time=1.8958542057161697e-02 dt=1.0560446395688789e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.85e+01 wsec_step=1.66e-01
cycle=18 time=2.0014586696730577e-02 dt=1.0504215701949604e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.87e+01 wsec_step=1.66e-01
cycle=19 time=2.1065008266925537e-02 dt=1.0452154283296976e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.89e+01 wsec_step=1.66e-01
cycle=20 time=2.2110223695255234e-02 dt=1.0401747614982133e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.90e+01 wsec_step=1.66e-01
cycle=21 time=2.3150398456753447e-02 dt=1.0354572573408980e-03 zone-cycles/wsec_step=1.01e+08 wsec_total=1.92e+01 wsec_step=1.66e-01
