#Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy
turbulence_phases_j       None,Provides,Real,Derived,OneCopy
turbulence_phases_i       None,Provides,Real,Derived,OneCopy
acc                       Cell,Provides,Real,Derived,OneCopy
prim                      Cell,Provides,Real,Derived
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------

Applying norm factor of 14.0931 to B field. Orig mean E_mag = 0.248269
Starting up hydro driver

Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=2.3377556616973193e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=2.15e+00 wsec_step=2.49e+00
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=2.3377556616973193e-03 dt=2.3358797971268922e-03 zone-cycles/wsec_step=1.86e+07 wsec_total=2.26e+00 wsec_step=1.13e-01
cycle=2 time=4.6736354588242119e-03 dt=2.3331684106642388e-03 zone-cycles/wsec_step=5.08e+07 wsec_total=2.30e+00 wsec_step=4.13e-02
cycle=3 time=7.0068038694884507e-03 dt=2.3309719547754803e-03 zone-cycles/wsec_step=5.01e+07 wsec_total=2.34e+00 wsec_step=4.18e-02
cycle=4 time=9.3377758242639310e-03 dt=2.3291457076133719e-03 zone-cycles/wsec_step=5.02e+07 wsec_total=2.38e+00 wsec_step=4.17e-02
cycle=5 time=1.1666921531877303e-02 dt=2.3272694814068357e-03 zone-cycles/wsec_step=5.01e+07 wsec_total=2.43e+00 wsec_step=4.18e-02
cycle=6 time=1.3994191013284139e-02 dt=2.3261373575485162e-03 zone-cycles/wsec_step=4.96e+07 wsec_total=2.47e+00 wsec_step=4.23e-02
cycle=7 time=1.6320328370832655e-02 dt=2.3253793956425914e-03 zone-cycles/wsec_step=5.34e+07 wsec_total=2.51e+00 wsec_step=3.93e-02
cycle=8 time=1.8645707766475245e-02 dt=2.3242951484597342e-03 zone-cycles/wsec_step=5.48e+07 wsec_total=2.55e+00 wsec_step=3.83e-02
cycle=9 time=2.0970002914934980e-02 dt=2.3233292559439447e-03 zone-cycles/wsec_step=5.49e+07 wsec_total=2.58e+00 wsec_step=3.82e-02
cycle=10 time=2.3293332170878926e-02 dt=2.3226626709757290e-03 zone-cycles/wsec_step=5.47e+07 wsec_total=2.62e+00 wsec_step=3.83e-02
cycle=11 time=2.5615994841854655e-02 dt=2.3222158697624126e-03 zone-cycles/wsec_step=5.50e+07 wsec_total=2.66e+00 wsec_step=3.81e-02
cycle=12 time=2.7938210711617069e-02 dt=2.3217134217140556e-03 zone-cycles/wsec_step=5.50e+07 wsec_total=2.70e+00 wsec_step=3.81e-02
cycle=13 time=3.0259924133331124e-02 dt=2.3212407306867208e-03 zone-cycles/wsec_step=5.51e+07 wsec_total=2.74e+00 wsec_step=3.81e-02
cycle=14 time=3.2581164864017846e-02 dt=2.3209335340604676e-03 zone-cycles/wsec_step=5.52e+07 wsec_total=2.77e+00 wsec_step=3.80e-02
cycle=15 time=3.4902098398078313e-02 dt=2.3206067730832621e-03 zone-cycles/wsec_step=5.51e+07 wsec_total=2.81e+00 wsec_step=3.80e-02
cycle=16 time=3.7222705171161573e-02 dt=2.3200895328637423e-03 zone-cycles/wsec_step=5.52e+07 wsec_total=2.85e+00 wsec_step=3.80e-02
cycle=17 time=3.9542794704025316e-02 dt=2.3196189440757024e-03 zone-cycles/wsec_step=5.54e+07 wsec_total=2.89e+00 wsec_step=3.79e-02
cycle=18 time=4.1862413648101018e-02 dt=2.3192697823006861e-03 zone-cycles/wsec_step=5.54e+07 wsec_total=2.93e+00 wsec_step=3.79e-02
cycle=19 time=4.4181683430401707e-02 dt=2.3186728102563450e-03 zone-cycles/wsec_step=5.53e+07 wsec_total=2.96e+00 wsec_step=3.79e-02
cycle=20 time=4.6500356240658049e-02 dt=2.3180655834864998e-03 zone-cycles/wsec_step=5.54e+07 wsec_total=3.00e+00 wsec_step=3.78e-02
cycle=21 time=4.8818421824144545e-02 dt=2.3175664488652775e-03 zone-cycles/wsec_step=5.55e+07 wsec_total=3.04e+00 wsec_step=3.78e-02
