#Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy
turbulence_phases_j       None,Provides,Real,Derived,OneCopy
turbulence_phases_i       None,Provides,Real,Derived,OneCopy
acc                       Cell,Provides,Real,Derived,OneCopy
prim                      Cell,Provides,Real,Derived
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------

Applying norm factor of 14.0931 to B field. Orig mean E_mag = 0.248269
Starting up hydro driver

Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=2.3377556616973193e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=1.84e+00 wsec_step=2.32e+00
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=2.3377556616973193e-03 dt=2.3284898492334652e-03 zone-cycles/wsec_step=2.32e+07 wsec_total=1.93e+00 wsec_step=9.06e-02
cycle=2 time=4.6662455109307849e-03 dt=2.3171406734805717e-03 zone-cycles/wsec_step=5.08e+07 wsec_total=1.98e+00 wsec_step=4.13e-02
cycle=3 time=6.9833861844113571e-03 dt=2.3069994656352002e-03 zone-cycles/wsec_step=5.05e+07 wsec_total=2.02e+00 wsec_step=4.15e-02
cycle=4 time=9.2903856500465565e-03 dt=2.2984196808518123e-03 zone-cycles/wsec_step=5.04e+07 wsec_total=2.06e+00 wsec_step=4.16e-02
cycle=5 time=1.1588805330898368e-02 dt=2.2900229253938098e-03 zone-cycles/wsec_step=5.03e+07 wsec_total=2.10e+00 wsec_step=4.17e-02
cycle=6 time=1.3878828256292178e-02 dt=2.2834792195509570e-03 zone-cycles/wsec_step=5.04e+07 wsec_total=2.14e+00 wsec_step=4.16e-02
cycle=7 time=1.6162307475843136e-02 dt=2.2770781253994197e-03 zone-cycles/wsec_step=5.23e+07 wsec_total=2.18e+00 wsec_step=4.01e-02
cycle=8 time=1.8439385601242555e-02 dt=2.2690756998836759e-03 zone-cycles/wsec_step=5.39e+07 wsec_total=2.22e+00 wsec_step=3.89e-02
cycle=9 time=2.0708461301126233e-02 dt=2.2593403198395501e-03 zone-cycles/wsec_step=5.51e+07 wsec_total=2.26e+00 wsec_step=3.80e-02
cycle=10 time=2.2967801620965782e-02 dt=2.2493130859991980e-03 zone-cycles/wsec_step=5.52e+07 wsec_total=2.30e+00 wsec_step=3.80e-02
cycle=11 time=2.5217114706964978e-02 dt=2.2384484168198001e-03 zone-cycles/wsec_step=5.53e+07 wsec_total=2.33e+00 wsec_step=3.79e-02
cycle=12 time=2.7455563123784780e-02 dt=2.2274401132990371e-03 zone-cycles/wsec_step=5.54e+07 wsec_total=2.37e+00 wsec_step=3.79e-02
cycle=13 time=2.9683003237083817e-02 dt=2.2173390809797230e-03 zone-cycles/wsec_step=5.55e+07 wsec_total=2.41e+00 wsec_step=3.78e-02
cycle=14 time=3.1900342318063539e-02 dt=2.2080149638008389e-03 zone-cycles/wsec_step=5.55e+07 wsec_total=2.45e+00 wsec_step=3.78e-02
cycle=15 time=3.4108357281864378e-02 dt=2.1990494649843676e-03 zone-cycles/wsec_step=5.56e+07 wsec_total=2.49e+00 wsec_step=3.77e-02
cycle=16 time=3.6307406746848743e-02 dt=2.1904679960527444e-03 zone-cycles/wsec_step=5.57e+07 wsec_total=2.52e+00 wsec_step=3.76e-02
cycle=17 time=3.8497874742901485e-02 dt=2.1820140571780226e-03 zone-cycles/wsec_step=5.56e+07 wsec_total=2.56e+00 wsec_step=3.77e-02
cycle=18 time=4.0679888800079507e-02 dt=2.1737676089701738e-03 zone-cycles/wsec_step=5.56e+07 wsec_total=2.60e+00 wsec_step=3.77e-02
cycle=19 time=4.2853656409049680e-02 dt=2.1661581986595966e-03 zone-cycles/wsec_step=5.58e+07 wsec_total=2.64e+00 wsec_step=3.76e-02
cycle=20 time=4.5019814607709277e-02 dt=2.1588094406486120e-03 zone-cycles/wsec_step=5.58e+07 wsec_total=2.67e+00 wsec_step=3.76e-02
cycle=21 time=4.7178624048357889e-02 dt=2.1518488704127784e-03 zone-cycles/wsec_step=5.58e+07 wsec_total=2.71e+00 wsec_step=3.76e-02
