#Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy
turbulence_phases_j       None,Provides,Real,Derived,OneCopy
turbulence_phases_i       None,Provides,Real,Derived,OneCopy
acc                       Cell,Provides,Real,Derived,OneCopy
prim                      Cell,Provides,Real,Derived
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------

Applying norm factor of 14.0931 to B field. Orig mean E_mag = 0.248269
Starting up hydro driver

Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=2.3377556616973193e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=1.48e+00 wsec_step=1.76e+00
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=2.3377556616973193e-03 dt=2.3284898492334652e-03 zone-cycles/wsec_step=2.56e+07 wsec_total=1.56e+00 wsec_step=8.20e-02
cycle=2 time=4.6662455109307849e-03 dt=2.3171431735584031e-03 zone-cycles/wsec_step=5.11e+07 wsec_total=1.60e+00 wsec_step=4.11e-02
cycle=3 time=6.9833886844891876e-03 dt=2.3070103738581241e-03 zone-cycles/wsec_step=5.08e+07 wsec_total=1.64e+00 wsec_step=4.13e-02
cycle=4 time=9.2903990583473109e-03 dt=2.2984452062462224e-03 zone-cycles/wsec_step=5.07e+07 wsec_total=1.68e+00 wsec_step=4.14e-02
cycle=5 time=1.1588844264593534e-02 dt=2.2900640632550900e-03 zone-cycles/wsec_step=5.07e+07 wsec_total=1.72e+00 wsec_step=4.14e-02
cycle=6 time=1.3878908327848624e-02 dt=2.2835463989318862e-03 zone-cycles/wsec_step=5.06e+07 wsec_total=1.76e+00 wsec_step=4.14e-02
cycle=7 time=1.6162454726780510e-02 dt=2.2771207642822335e-03 zone-cycles/wsec_step=5.21e+07 wsec_total=1.81e+00 wsec_step=4.02e-02
cycle=8 time=1.8439575491062746e-02 dt=2.2691432790363482e-03 zone-cycles/wsec_step=5.52e+07 wsec_total=1.84e+00 wsec_step=3.80e-02
cycle=9 time=2.0708718770099093e-02 dt=2.2594303387213723e-03 zone-cycles/wsec_step=5.55e+07 wsec_total=1.88e+00 wsec_step=3.78e-02
cycle=10 time=2.2968149108820467e-02 dt=2.2494233436531996e-03 zone-cycles/wsec_step=5.55e+07 wsec_total=1.92e+00 wsec_step=3.78e-02
cycle=11 time=2.5217572452473667e-02 dt=2.2385758531012385e-03 zone-cycles/wsec_step=5.56e+07 wsec_total=1.96e+00 wsec_step=3.77e-02
cycle=12 time=2.7456148305574905e-02 dt=2.2275791346961066e-03 zone-cycles/wsec_step=5.57e+07 wsec_total=1.99e+00 wsec_step=3.76e-02
cycle=13 time=2.9683727440271011e-02 dt=2.2175085107702681e-03 zone-cycles/wsec_step=5.57e+07 wsec_total=2.03e+00 wsec_step=3.77e-02
cycle=14 time=3.1901235951041280e-02 dt=2.2082320822564803e-03 zone-cycles/wsec_step=5.57e+07 wsec_total=2.07e+00 wsec_step=3.76e-02
cycle=15 time=3.4109468033297757e-02 dt=2.1993218887613047e-03 zone-cycles/wsec_step=5.57e+07 wsec_total=2.11e+00 wsec_step=3.76e-02
cycle=16 time=3.6308789922059062e-02 dt=2.1907963189075684e-03 zone-cycles/wsec_step=5.59e+07 wsec_total=2.14e+00 wsec_step=3.75e-02
cycle=17 time=3.8499586240966631e-02 dt=2.1823932823480771e-03 zone-cycles/wsec_step=5.60e+07 wsec_total=2.18e+00 wsec_step=3.74e-02
cycle=18 time=4.0681979523314711e-02 dt=2.1742143019467934e-03 zone-cycles/wsec_step=5.59e+07 wsec_total=2.22e+00 wsec_step=3.75e-02
cycle=19 time=4.2856193825261506e-02 dt=2.1666857272501657e-03 zone-cycles/wsec_step=5.59e+07 wsec_total=2.26e+00 wsec_step=3.75e-02
cycle=20 time=4.5022879552511670e-02 dt=2.1594082568232734e-03 zone-cycles/wsec_step=5.61e+07 wsec_total=2.29e+00 wsec_step=3.74e-02
cycle=21 time=4.7182287809334943e-02 dt=2.1525432407554419e-03 zone-cycles/wsec_step=5.61e+07 wsec_total=2.33e+00 wsec_step=3.74e-02
