# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.006512356197828195e-01 1.516425866084642193e-01
4.001368835266797541e-01 2.898882237345049018e-01
6.003580844328121335e-01 4.146307851644084330e-01
8.000284573227127716e-01 5.123783931305487815e-01
1.000326445733782377e+00 6.049654010163924012e-01
1.200217562319151110e+00 6.833256085141815594e-01
1.400005234458566283e+00 7.298945284103869335e-01
1.600208345249859887e+00 7.438830711698747322e-01
1.800217889537575111e+00 7.191477154341676670e-01
2.000132212849296209e+00 6.802224549471826975e-01
2.200051617697602602e+00 6.570891924478955426e-01
2.400375834918428986e+00 6.574094505566185909e-01
2.600314637333172918e+00 6.563761081718841872e-01
2.800287280289316616e+00 6.604774766606126279e-01
3.000074701198908400e+00 6.637573640728872126e-01
3.200334469407186688e+00 6.658219629999145850e-01
3.400090276221601204e+00 6.752214912591588680e-01
3.600029643336395413e+00 6.721568485352626965e-01
3.800146587911250151e+00 6.787938329684994887e-01
4.000028318622991463e+00 6.798481099244688686e-01
4.200249857702130996e+00 6.765737131033228158e-01
4.400237516263121762e+00 6.663598726165977926e-01
4.600053586102408332e+00 6.686680105349513958e-01
4.800286807729740701e+00 6.635726132816512912e-01
5.000132336818150947e+00 6.567979933646151958e-01
5.200089692168218924e+00 6.580528289841550693e-01
5.400050224066434090e+00 6.516828321727147211e-01
5.600048417594414296e+00 6.475625419373310931e-01
5.800112038118859559e+00 6.388473551767254177e-01
6.000071571253409175e+00 6.281902572021874631e-01
6.200019420423035221e+00 6.184247334618483416e-01
6.400123955895812955e+00 6.133042013660802150e-01
6.600146064090358422e+00 6.104085728691330814e-01
6.800382927327305538e+00 6.019281331721276773e-01
7.000196681875668681e+00 5.938217153541713866e-01
7.200039109958229488e+00 5.939039657200602118e-01
7.400179172436439856e+00 6.022234060654889642e-01
7.600090665494499298e+00 6.103708684748329061e-01
7.800148258601176998e+00 6.078426246268242572e-01
8.000236329261298351e+00 6.074388969174175923e-01
8.200069170138847952e+00 6.015068717176856872e-01
8.400130608889583073e+00 5.957028825932846328e-01
8.600086264940758340e+00 5.897132209471297459e-01
8.800201655264514145e+00 5.742143478526284817e-01
9.000202389294885919e+00 5.642526743698135228e-01
9.200236118722525447e+00 5.606217588297545129e-01
9.400124048864700654e+00 5.592877938443283625e-01
9.600049223966676593e+00 5.578680101528988855e-01
9.800049285487915540e+00 5.552328988510497609e-01
1.000000000000000000e+01 5.597867871250440386e-01
