Time(s) Average_Mach_Number
0.000000000000000000e+00 0.000000000000000000e+00
2.005897484285769916e-01 1.514782951336218486e-01
4.000052203774413506e-01 2.887612149880706691e-01
6.003011592985317835e-01 4.109401675972051970e-01
8.004233379366030299e-01 5.036753240373856855e-01
1.000190567383947959e+00 5.866334881498005416e-01
1.200066246302825101e+00 6.484688144675412325e-01
1.400038371723433039e+00 6.693011773678575471e-01
1.600221183190740248e+00 6.590359893534182278e-01
1.800244632431839520e+00 6.305399155298254676e-01
2.000299045484500216e+00 6.080850993465762855e-01
2.200344704862582379e+00 6.054862811149080981e-01
2.400220898009572945e+00 6.063187633920108510e-01
2.600395877366104891e+00 5.984627917805304120e-01
2.800141569797524710e+00 5.969416364805927300e-01
3.000331717741709259e+00 6.062569718186078260e-01
3.200165368716567649e+00 6.084656778620121109e-01
3.400373697490072011e+00 6.162810347064821004e-01
3.600281540724973528e+00 6.116693036489181390e-01
3.800374582694603376e+00 6.112829732811854155e-01
4.000160537687943219e+00 6.125337523386324978e-01
4.200355970159118435e+00 6.082528529934818629e-01
4.400070627221237096e+00 5.955163029667847052e-01
4.600167065212974471e+00 5.915995097944432013e-01
4.800165502540644447e+00 5.885655891924450600e-01
5.000334980609562052e+00 5.936650236486619159e-01
5.200001578786012324e+00 5.918419051792775942e-01
5.400002488784314103e+00 5.891138026953156581e-01
5.600228950720869570e+00 5.925929165340025895e-01
5.800291825863499007e+00 5.888353109051859269e-01
6.000187509705774858e+00 5.838602590470446385e-01
6.200024965974284541e+00 5.786816365008524699e-01
6.400053437275892598e+00 5.691865349744391622e-01
6.600418150944175721e+00 5.623812224931984405e-01
6.800003110803305439e+00 5.618708300065108352e-01
7.000297030506136942e+00 5.601996203852713796e-01
7.200331836382471984e+00 5.660632161546857999e-01
7.400323721283912803e+00 5.666644407195561284e-01
7.600254471016225644e+00 5.629935089622528643e-01
7.800287509646566697e+00 5.725323861457851660e-01
8.000356060343964515e+00 5.856408992819519543e-01
8.200379812581756411e+00 5.962392810127501441e-01
8.400142609537629923e+00 6.014901280694601171e-01
8.600119400976502959e+00 6.000942255806530623e-01
8.800066391460521942e+00 5.920958948872231398e-01
9.000029679801075488e+00 5.776336354942710472e-01
9.200102965183207360e+00 5.616133020193123659e-01
9.400177173415810827e+00 5.496975589270329809e-01
9.600228069736594705e+00 5.438895613986083344e-01
9.800028685762219638e+00 5.419844006465679431e-01
1.000000000000000000e+01 5.376378005140124428e-01
