#Variables in use:
# Package: parthenon::resolved_state
# ---------------------------------------------------
# Variables:
# Name	Metadata flags
# ---------------------------------------------------
turbulence_phases_k       None,Provides,Real,Derived,OneCopy
turbulence_phases_j       None,Provides,Real,Derived,OneCopy
turbulence_phases_i       None,Provides,Real,Derived,OneCopy
acc                       Cell,Provides,Real,Derived,OneCopy
prim                      Cell,Provides,Real,Derived
cons                      Cell,Provides,Real,Independent,FillGhost,WithFluxes
# ---------------------------------------------------
# Sparse Variables:
# Name	sparse id	Metadata flags
# ---------------------------------------------------
# ---------------------------------------------------
# Swarms:
# Swarm	Value	metadata
# ---------------------------------------------------

Applying norm factor of 14.0016 to B field. Orig mean E_mag = 0.245056
Starting up hydro driver

Setup complete, executing driver...

cycle=0 time=0.0000000000000000e+00 dt=4.6753577995805491e-03 zone-cycles/wsec_step=0.00e+00 wsec_total=3.62e-01 wsec_step=7.43e-01
-------------- New Mesh structure after (de)refinement -------------
Root grid = 4 x 4 x 2 MeshBlocks
Total number of MeshBlocks = 32
Number of physical refinement levels = 0
Number of logical  refinement levels = 2
  Physical level = 0 (logical level = 2): 32 MeshBlocks, cost = 32
--------------------------------------------------------------------
cycle=1 time=4.6753577995805491e-03 dt=4.6379515040883843e-03 zone-cycles/wsec_step=5.56e+06 wsec_total=4.09e-01 wsec_step=4.71e-02
cycle=2 time=9.3133093036689325e-03 dt=4.5989701051805257e-03 zone-cycles/wsec_step=2.52e+07 wsec_total=4.19e-01 wsec_step=1.04e-02
cycle=3 time=1.3912279408849457e-02 dt=4.5624089069153167e-03 zone-cycles/wsec_step=2.51e+07 wsec_total=4.30e-01 wsec_step=1.05e-02
cycle=4 time=1.8474688315764775e-02 dt=4.5312326686358000e-03 zone-cycles/wsec_step=2.48e+07 wsec_total=4.41e-01 wsec_step=1.06e-02
cycle=5 time=2.3005920984400574e-02 dt=4.4970041810332827e-03 zone-cycles/wsec_step=2.53e+07 wsec_total=4.51e-01 wsec_step=1.04e-02
cycle=6 time=2.7502925165433859e-02 dt=4.4658488559883563e-03 zone-cycles/wsec_step=2.54e+07 wsec_total=4.61e-01 wsec_step=1.03e-02
cycle=7 time=3.1968774021422217e-02 dt=4.4317029651501265e-03 zone-cycles/wsec_step=2.55e+07 wsec_total=4.72e-01 wsec_step=1.03e-02
cycle=8 time=3.6400476986572346e-02 dt=4.4029873626032822e-03 zone-cycles/wsec_step=2.56e+07 wsec_total=4.82e-01 wsec_step=1.02e-02
cycle=9 time=4.0803464349175630e-02 dt=4.3712254096824159e-03 zone-cycles/wsec_step=2.56e+07 wsec_total=4.92e-01 wsec_step=1.02e-02
cycle=10 time=4.5174689758858050e-02 dt=4.3347443572444178e-03 zone-cycles/wsec_step=2.57e+07 wsec_total=5.02e-01 wsec_step=1.02e-02
cycle=11 time=4.9509434116102466e-02 dt=4.2959620328731811e-03 zone-cycles/wsec_step=2.57e+07 wsec_total=5.12e-01 wsec_step=1.02e-02
cycle=12 time=5.3805396148975650e-02 dt=4.2571900366819970e-03 zone-cycles/wsec_step=2.03e+07 wsec_total=5.25e-01 wsec_step=1.29e-02
cycle=13 time=5.8062586185657648e-02 dt=4.2227099658760500e-03 zone-cycles/wsec_step=2.59e+07 wsec_total=5.35e-01 wsec_step=1.01e-02
cycle=14 time=6.2285296151533699e-02 dt=4.1908193209342194e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=5.45e-01 wsec_step=9.99e-03
cycle=15 time=6.6476115472467914e-02 dt=4.1600089531074573e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=5.55e-01 wsec_step=1.00e-02
cycle=16 time=7.0636124425575375e-02 dt=4.1309052874137636e-03 zone-cycles/wsec_step=2.63e+07 wsec_total=5.65e-01 wsec_step=9.98e-03
cycle=17 time=7.4767029712989139e-02 dt=4.1026220154720275e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=5.75e-01 wsec_step=1.00e-02
cycle=18 time=7.8869651728461165e-02 dt=4.0754965081459286e-03 zone-cycles/wsec_step=2.63e+07 wsec_total=5.85e-01 wsec_step=9.98e-03
cycle=19 time=8.2945148236607091e-02 dt=4.0503181446792059e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=5.95e-01 wsec_step=1.00e-02
cycle=20 time=8.6995466381286302e-02 dt=4.0263431702635905e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=6.05e-01 wsec_step=1.00e-02
cycle=21 time=9.1021809551549898e-02 dt=4.0039351422632994e-03 zone-cycles/wsec_step=2.62e+07 wsec_total=6.15e-01 wsec_step=9.99e-03
