run,numberOfGPUs,numberOfCells,correrationTime,solenoidalWeight,accelerationFieldRMS,initialMagneticField,equationOfStateGamma,magneticFieldMode,parthenon.prim.00000.phdf,parthenon.prim.final.phdf,turbulence_philipp.out,analysis.h5,status
NG_1-NC_064-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00,1,64,1.0,1.0,1.0,0.05,1.0,4,2024/04/04[13:19:22],2024/04/04[13:25:40],2024/04/04[13:25:41],2024/03/21[16:56:40],COMPLETE
NG_1-NC_256-TCOR_0.20-SOLW_0.30-ARMS_1.25-BINI_0.05-EOSG_1.00,1,256,0.2,0.3,1.25,0.05,1.0,4,,,2024/03/21[16:56:41],2024/03/21[16:56:41],NOT-RUN
NG_1-NC_256-TCOR_0.25-SOLW_0.00-ARMS_2.00-BINI_0.05-EOSG_1.00,1,256,0.25,0.0,2.0,0.05,1.0,4,,,2024/03/21[16:56:41],2024/03/21[16:56:41],NOT-RUN
NG_1-NC_256-TCOR_0.25-SOLW_0.50-ARMS_2.00-BINI_0.05-EOSG_1.00,1,256,0.25,0.5,2.0,0.05,1.0,4,,,2024/03/21[16:56:41],2024/03/21[16:56:41],NOT-RUN
NG_1-NC_256-TCOR_0.50-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00,1,256,0.5,1.0,1.0,0.05,1.0,4,,,2024/03/21[16:56:42],2024/03/21[16:56:42],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_0.50-BINI_0.05-EOSG_1.00,1,256,1.0,1.0,0.5,0.05,1.0,4,,,2024/03/21[16:56:43],2024/03/21[16:56:42],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.01-EOSG_1.00,1,256,1.0,1.0,1.0,0.01,1.0,4,2024/04/05[06:36:32],2024/04/05[08:25:12],2024/04/05[08:25:53],2024/03/21[16:56:43],COMPLETE
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.10-EOSG_1.00,1,256,1.0,1.0,1.0,0.1,1.0,4,,,2024/03/21[16:56:44],2024/03/21[16:56:44],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.30-EOSG_1.00,1,256,1.0,1.0,1.0,0.3,1.0,4,,,2024/03/21[16:56:44],2024/03/21[16:56:44],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_5.00-EOSG_1.00,1,256,1.0,1.0,1.0,5.0,1.0,4,,,2024/03/21[16:56:45],2024/03/21[16:56:44],NOT-RUN
NG_1-NC_512-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00,1,512,1.0,1.0,1.0,0.05,1.0,4,,,2024/03/21[16:56:46],,NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.07-EOSG_1.00,1,256,1.0,1.0,1.0,0.07,1.0,4,,,,2024/04/04[13:15:28],NOT-RUN
NG_1-NC_128-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00,1,128,1.0,1.0,1.0,0.05,1.0,4,2024/04/04[13:33:21],2024/04/04[14:25:53],2024/04/04[14:25:59],2024/03/21[16:56:40],COMPLETE
NG_1-NC_256-TCOR_0.25-SOLW_1.00-ARMS_2.00-BINI_0.05-EOSG_1.00,1,256,0.25,1.0,2.0,0.05,1.0,4,,,2024/03/21[16:56:42],2024/03/21[16:56:41],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_0.10-BINI_0.05-EOSG_1.00,1,256,1.0,1.0,0.1,0.05,1.0,4,,,2024/03/21[16:56:42],2024/03/21[16:56:42],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00-MFM_0,1,256,1.0,1.0,1.0,0.05,1.0,0,,,2024/03/21[16:56:43],2024/03/21[16:56:43],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.05-EOSG_1.00,1,256,1.0,1.0,1.0,0.05,1.0,4,2024/04/04[23:45:56],2024/04/05[01:33:43],2024/04/05[01:34:24],2024/03/21[16:56:43],COMPLETE
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_0.50-EOSG_1.00,1,256,1.0,1.0,1.0,0.5,1.0,4,,,,,NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_1.00-BINI_1.00-EOSG_1.00,1,256,1.0,1.0,1.0,1.0,1.0,4,2024/04/05[11:30:11],2024/04/05[13:44:28],2024/04/05[13:44:36],2024/03/21[16:56:44],COMPLETE
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_2.00-BINI_0.05-EOSG_1.00,1,256,1.0,1.0,2.0,0.05,1.0,4,,,2024/03/21[16:56:45],2024/03/21[16:56:45],NOT-RUN
NG_1-NC_256-TCOR_1.00-SOLW_1.00-ARMS_3.00-BINI_0.05-EOSG_1.00,1,256,1.0,1.0,3.0,0.05,1.0,4,,,2024/03/21[16:56:45],2024/03/21[16:56:45],NOT-RUN
